name,faction,parent,branch,gen
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructElvenWarriorHorde,basic,2
CONTROLBAR:PurchaseTechnologyRohanFireArrows,rohan,CONTROLBAR:ConstructRohanArcherRange,basic,1
CONTROLBAR:ConstructRohanWell,rohan,,basic,0
CONTROLBAR:ConstructRohanStatue,rohan,,basic,0
CONTROLBAR:ConstructRohanStable,rohan,,basic,0
CONTROLBAR:ConstructRohanRohirrimHorde,rohan,CONTROLBAR:ConstructRohanStable,basic,1
CONTROLBAR:Guard,rohan,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:ToggleWedgeFormation,rohan,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:ToggleLineFormation,rohan,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanForgedBlades,rohan,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanHorseShield,rohan,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:ConstructRohanRohirrimArcherHorde,rohan,CONTROLBAR:ConstructRohanStable,basic,1
CONTROLBAR:Guard,rohan,CONTROLBAR:ConstructRohanRohirrimArcherHorde,basic,2
CONTROLBAR:ToggleWedgeFormation,rohan,CONTROLBAR:ConstructRohanRohirrimArcherHorde,basic,2
CONTROLBAR:ToggleLineFormation,rohan,CONTROLBAR:ConstructRohanRohirrimArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ConstructRohanRohirrimArcherHorde,basic,2
CONTROLBAR:FireArrowUpgrade,rohan,CONTROLBAR:ConstructRohanRohirrimArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanRohirrimArcherHorde,basic,2
CONTROLBAR:PurchaseTechnologyRohanHorseShield,rohan,CONTROLBAR:ConstructRohanStable,basic,1
CONTROLBAR:ConstructRohanArmory,rohan,,basic,0
CONTROLBAR:PurchaseTechnologyRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanArmory,basic,1
CONTROLBAR:PurchaseTechnologyRohanHeavyArmor,rohan,CONTROLBAR:ConstructRohanArmory,basic,1
CONTROLBAR:PurchaseTechnologyRohanForgedBlades,rohan,CONTROLBAR:ConstructRohanArmory,basic,1
OBJECT:RohanCastleBaseKeep,rohan,,basic,0
CONTROLBAR:RohanTheodenHotkey,rohan,OBJECT:RohanCastleBaseKeep,basic,1
CONTROLBAR:GloriousCharge,rohan,CONTROLBAR:RohanTheodenHotkey,basic,2
CONTROLBAR:KingsFavor,rohan,CONTROLBAR:RohanTheodenHotkey,basic,2
CONTROLBAR:TheodenMount,rohan,CONTROLBAR:RohanTheodenHotkey,basic,2
CONTROLBAR:RohanEomerHotkey,rohan,OBJECT:RohanCastleBaseKeep,basic,1
CONTROLBAR:ThrowSpear,rohan,CONTROLBAR:RohanEomerHotkey,basic,2
CONTROLBAR:EomerMount,rohan,CONTROLBAR:RohanEomerHotkey,basic,2
CONTROLBAR:RohanEowynHotkey,rohan,OBJECT:RohanCastleBaseKeep,basic,1
CONTROLBAR:Smite,rohan,CONTROLBAR:RohanEowynHotkey,basic,2
CONTROLBAR:Disguise,rohan,CONTROLBAR:RohanEowynHotkey,basic,2
CONTROLBAR:ShieldMaiden,rohan,CONTROLBAR:RohanEowynHotkey,basic,2
CONTROLBAR:EowynMount,rohan,CONTROLBAR:RohanEowynHotkey,basic,2
CONTROLBAR:RohanGimliHotkey,rohan,OBJECT:RohanCastleBaseKeep,basic,1
CONTROLBAR:AxeThrow,rohan,CONTROLBAR:RohanGimliHotkey,basic,2
CONTROLBAR:Leap,rohan,CONTROLBAR:RohanGimliHotkey,basic,2
CONTROLBAR:Slayer,rohan,CONTROLBAR:RohanGimliHotkey,basic,2
CONTROLBAR:RohanLegolasHotkey,rohan,OBJECT:RohanCastleBaseKeep,basic,1
CONTROLBAR:HawkStrike,rohan,CONTROLBAR:RohanLegolasHotkey,basic,2
CONTROLBAR:KnifeFighter,rohan,CONTROLBAR:RohanLegolasHotkey,basic,2
CONTROLBAR:TrainArchers,rohan,CONTROLBAR:RohanLegolasHotkey,basic,2
CONTROLBAR:ArrowWind,rohan,CONTROLBAR:RohanLegolasHotkey,basic,2
CONTROLBAR:GondorAragornHotkey,rohan,OBJECT:RohanCastleBaseKeep,basic,1
CONTROLBAR:Athelas,rohan,CONTROLBAR:GondorAragornHotkey,basic,2
CONTROLBAR:BladeMaster,rohan,CONTROLBAR:GondorAragornHotkey,basic,2
CONTROLBAR:Elendil,rohan,CONTROLBAR:GondorAragornHotkey,basic,2
CONTROLBAR:Oathbreakers,rohan,CONTROLBAR:GondorAragornHotkey,basic,2
CONTROLBAR:RohanMerryHotkey,rohan,OBJECT:RohanCastleBaseKeep,basic,1
CONTROLBAR:ThrowRocks,rohan,CONTROLBAR:RohanMerryHotkey,basic,2
CONTROLBAR:UseSword,rohan,CONTROLBAR:RohanMerryHotkey,basic,2
CONTROLBAR:ElvenCloak,rohan,CONTROLBAR:RohanMerryHotkey,basic,2
OBJECT:RohanCastleWall,rohan,,basic,0
CONTROLBAR:FlagsUpgrade,rohan,OBJECT:RohanCastleWall,basic,1
CONTROLBAR:BattleTowerUpgrade,rohan,OBJECT:RohanCastleWall,basic,1
CONTROLBAR:PosternGateUpgrade,rohan,OBJECT:RohanCastleWall,basic,1
OBJECT:EconomyFlag,rohan,,basic,0
CONTROLBAR:UnpackRohanFarm,rohan,OBJECT:EconomyFlag,basic,1
CONTROLBAR:ConstructEntMoot,rohan,OBJECT:EconomyFlag,basic,1
CONTROLBAR:ConstructTreeBeard,rohan,CONTROLBAR:ConstructEntMoot,basic,2
CONTROLBAR:ConstructEnt,rohan,CONTROLBAR:ConstructEntMoot,basic,2
CONTROLBAR:Guard,rohan,CONTROLBAR:ConstructEnt,basic,3
CONTROLBAR:GrabBuildingChunk,rohan,CONTROLBAR:ConstructEnt,basic,3
CONTROLBAR:ThrowRocks,rohan,CONTROLBAR:ConstructEnt,basic,3
CONTROLBAR:KickAndPunch,rohan,CONTROLBAR:ConstructEnt,basic,3
CONTROLBAR:ConstructOutpost,rohan,OBJECT:EconomyFlag,basic,1
CONTROLBAR:ConstructCastle,rohan,OBJECT:EconomyFlag,basic,1
