name,faction,parent,branch,gen,no_hotkey
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorLinhirPikeHorde,basic,2,FALSE
CONTROLBAR:ConstructLossarnachAxeMenHorde,gondor,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:GondorArmaments,gondor,CONTROLBAR:ConstructLossarnachAxeMenHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,gondor,CONTROLBAR:ConstructLossarnachAxeMenHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructLossarnachAxeMenHorde,basic,2,FALSE
CONTROLBAR:ConstructGondorFighterHorde,gondor,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:ToggleBlockFormation,gondor,CONTROLBAR:ConstructGondorFighterHorde,basic,2,FALSE
CONTROLBAR:ToggleLineFormation,gondor,CONTROLBAR:ConstructGondorFighterHorde,basic,2,FALSE
CONTROLBAR:AngmarChargeAttack,gondor,CONTROLBAR:ConstructGondorFighterHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,gondor,CONTROLBAR:ConstructGondorFighterHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,gondor,CONTROLBAR:ConstructGondorFighterHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorFighterHorde,basic,2,FALSE
CONTROLBAR:ConstructGondorSpearmenHorde,gondor,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:ToggleFountainGuardFormation,gondor,CONTROLBAR:ConstructGondorSpearmenHorde,basic,2,FALSE
CONTROLBAR:ToggleLineFormation,gondor,CONTROLBAR:ConstructGondorSpearmenHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,gondor,CONTROLBAR:ConstructGondorSpearmenHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,gondor,CONTROLBAR:ConstructGondorSpearmenHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorSpearmenHorde,basic,2,FALSE
CONTROLBAR:ConstructGondorBarracks2Upgrade,gondor,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:ConstructGondorBarracksLevel3Upgrade,gondor,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:ConstructMenArcheryRange,gondor,,basic,0,FALSE
CONTROLBAR:ConstructGondorBlackrootArcherHorde,gondor,CONTROLBAR:ConstructMenArcheryRange,basic,1,FALSE
CONTROLBAR:ArcherBarrage,gondor,CONTROLBAR:ConstructGondorBlackrootArcherHorde,basic,2,FALSE
CONTROLBAR:GondorArmaments,gondor,CONTROLBAR:ConstructGondorBlackrootArcherHorde,basic,2,FALSE
CONTROLBAR:FireArrowUpgrade,gondor,CONTROLBAR:ConstructGondorBlackrootArcherHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorBlackrootArcherHorde,basic,2,FALSE
CONTROLBAR:ConstructGondorArcherHorde,gondor,CONTROLBAR:ConstructMenArcheryRange,basic,1,FALSE
CONTROLBAR:ArcherBarrage,gondor,CONTROLBAR:ConstructGondorArcherHorde,basic,2,FALSE
CONTROLBAR:ToggleSkirmishFormation,gondor,CONTROLBAR:ConstructGondorArcherHorde,basic,2,FALSE
CONTROLBAR:ToggleAnorienLineFormation,gondor,CONTROLBAR:ConstructGondorArcherHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,gondor,CONTROLBAR:ConstructGondorArcherHorde,basic,2,FALSE
CONTROLBAR:FireArrowUpgrade,gondor,CONTROLBAR:ConstructGondorArcherHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorArcherHorde,basic,2,FALSE
CONTROLBAR:ConstructGondorRangerHorde,gondor,CONTROLBAR:ConstructMenArcheryRange,basic,1,FALSE
CONTROLBAR:ArcherBarrage,gondor,CONTROLBAR:ConstructGondorRangerHorde,basic,2,FALSE
CONTROLBAR:ToggleIthilienWeapons,gondor,CONTROLBAR:ConstructGondorRangerHorde,basic,2,FALSE
CONTROLBAR:MenLongShotAbility,gondor,CONTROLBAR:ConstructGondorRangerHorde,basic,2,FALSE
CONTROLBAR:BodkinArrowUpgrade,gondor,CONTROLBAR:ConstructGondorRangerHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorRangerHorde,basic,2,FALSE
CONTROLBAR:PurchaseTechnologyGondorFireArrows,gondor,CONTROLBAR:ConstructGondorRangerHorde,basic,2,FALSE
CONTROLBAR:ConstructGondorArcheryRangeLevel2Upgrade,gondor,CONTROLBAR:ConstructMenArcheryRange,basic,1,FALSE
CONTROLBAR:ConstructGondorArcheryRangeLevel3Upgrade,gondor,CONTROLBAR:ConstructMenArcheryRange,basic,1,FALSE
CONTROLBAR:ConstructMenStable,gondor,,basic,0,FALSE
CONTROLBAR:ConstructGondorPinnathGelinHorde,gondor,CONTROLBAR:ConstructMenStable,basic,1,FALSE
CONTROLBAR:GondorArmaments,gondor,CONTROLBAR:ConstructGondorPinnathGelinHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,gondor,CONTROLBAR:ConstructGondorPinnathGelinHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorPinnathGelinHorde,basic,2,FALSE
CONTROLBAR:ConstructGondorLancerHorde,gondor,CONTROLBAR:ConstructMenStable,basic,1,FALSE
CONTROLBAR:ToggleWedgeFormation,gondor,CONTROLBAR:ConstructGondorLancerHorde,basic,2,FALSE
CONTROLBAR:ToggleLineFormation,gondor,CONTROLBAR:ConstructGondorLancerHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,gondor,CONTROLBAR:ConstructGondorLancerHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,gondor,CONTROLBAR:ConstructGondorLancerHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorLancerHorde,basic,2,FALSE
CONTROLBAR:ConstructGondorStable2Upgrade,gondor,CONTROLBAR:ConstructMenStable,basic,1,FALSE
CONTROLBAR:ConstructGondorStableLevel3Upgrade,gondor,CONTROLBAR:ConstructMenStable,basic,1,FALSE
CONTROLBAR:ConstructMenWorkshop,gondor,,basic,0,FALSE
CONTROLBAR:ConstructGondorTrebuchet,gondor,CONTROLBAR:ConstructMenWorkshop,basic,1,FALSE
CONTROLBAR:NoAutoAcquire,gondor,CONTROLBAR:ConstructGondorTrebuchet,basic,2,FALSE
CONTROLBAR:AutoAcquire,gondor,CONTROLBAR:ConstructGondorTrebuchet,basic,2,FALSE
CONTROLBAR:ToggleTrebWeapon,gondor,CONTROLBAR:ConstructGondorTrebuchet,basic,2,FALSE
CONTROLBAR:StopBombard,gondor,CONTROLBAR:ConstructGondorTrebuchet,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorFireStones,gondor,CONTROLBAR:ConstructGondorTrebuchet,basic,2,FALSE
CONTROLBAR:PurchaseTechnologyGondorFireStones,gondor,CONTROLBAR:ConstructMenWorkshop,basic,1,FALSE
CONTROLBAR:ConstructGondorWorkshop2Upgrade,gondor,CONTROLBAR:ConstructMenWorkshop,basic,1,FALSE
CONTROLBAR:ConstructGondorWorkshopLevel3Upgrade,gondor,CONTROLBAR:ConstructMenWorkshop,basic,1,FALSE
CONTROLBAR:ConstructMenSentryTower,gondor,,basic,0,FALSE
CONTROLBAR:GarrisonExit,gondor,CONTROLBAR:ConstructMenSentryTower,basic,1,FALSE
CONTROLBAR:GondorBattleTowerGarrison,gondor,CONTROLBAR:ConstructMenSentryTower,basic,1,FALSE
CONTROLBAR:ConstructMonumenttoElendil,gondor,,basic,0,FALSE
CONTROLBAR:ConstructMenMarketPlace,gondor,,basic,0,FALSE
CONTROLBAR:ConstructGrandHarvestUpgrade,gondor,CONTROLBAR:ConstructMenMarketPlace,basic,1,FALSE
CONTROLBAR:ConstructSiegeMaterialsUpgrade,gondor,CONTROLBAR:ConstructMenMarketPlace,basic,1,FALSE
CONTROLBAR:ConstructMenStoneMaker,gondor,,basic,0,FALSE
CONTROLBAR:ConstructMenWallHub,gondor,,basic,0,FALSE
CONTROLBAR:Command_GondorCastleWallHub_BeginWallSpan,gondor,CONTROLBAR:ConstructMenWallHub,basic,1,FALSE
CONTROLBAR:Command_MenWallUpgradeToHub,gondor,CONTROLBAR:Command_GondorCastleWallHub_BeginWallSpan,basic,2,FALSE
CONTROLBAR:Command_MenWallUpgradeToRegularGate,gondor,CONTROLBAR:Command_GondorCastleWallHub_BeginWallSpan,basic,2,FALSE
CONTROLBAR:Command_MenWallUpgradeToPosternGate,gondor,CONTROLBAR:Command_GondorCastleWallHub_BeginWallSpan,basic,2,FALSE
CONTROLBAR:Command_MenWallUpgradeToTower,gondor,CONTROLBAR:Command_GondorCastleWallHub_BeginWallSpan,basic,2,FALSE
CONTROLBAR:Command_MenWallUpgradeToTrebuchet,gondor,CONTROLBAR:Command_GondorCastleWallHub_BeginWallSpan,basic,2,FALSE
CONTROLBAR:StartSelfRepair,gondor,CONTROLBAR:Command_GondorCastleWallHub_BeginWallSpan,basic,2,FALSE
CONTROLBAR:ConstructMenFortress,gondor,,basic,0,FALSE
CONTROLBAR:ConstructMenPorter,gondor,CONTROLBAR:ConstructMenFortress,basic,1,FALSE
CONTROLBAR:Stop,gondor,CONTROLBAR:ConstructMenPorter,basic,2,FALSE
CONTROLBAR:PorterExtinguishFire,gondor,CONTROLBAR:ConstructMenPorter,basic,2,FALSE
CONTROLBAR:SelectRevivablesMenFortress,gondor,CONTROLBAR:ConstructMenFortress,basic,1,FALSE
CONTROLBAR:RohanPippinHotkey,gondor,CONTROLBAR:SelectRevivablesMenFortress,basic,2,FALSE
CONTROLBAR:tooltipCommand_ToggleEntRockThrow,gondor,CONTROLBAR:RohanPippinHotkey,basic,3,FALSE
CONTROLBAR:UseSword,gondor,CONTROLBAR:RohanPippinHotkey,basic,3,FALSE
CONTROLBAR:ElvenCloak,gondor,CONTROLBAR:RohanPippinHotkey,basic,3,FALSE
CONTROLBAR:Trollbane,gondor,CONTROLBAR:RohanPippinHotkey,basic,3,FALSE
CONTROLBAR:GondorForlongHotkey,gondor,CONTROLBAR:SelectRevivablesMenFortress,basic,2,FALSE
CONTROLBAR:ForlongVitality,gondor,CONTROLBAR:GondorForlongHotkey,basic,3,FALSE
CONTROLBAR:ForlongTrueHeartTrueFriend,gondor,CONTROLBAR:GondorForlongHotkey,basic,3,FALSE
CONTROLBAR:GondorBeregondHotkey,gondor,CONTROLBAR:SelectRevivablesMenFortress,basic,2,FALSE
CONTROLBAR:ToggleBeregondWeapons,gondor,CONTROLBAR:GondorBeregondHotkey,basic,3,FALSE
CONTROLBAR:DefenderoftheWhiteCityS,gondor,CONTROLBAR:GondorBeregondHotkey,basic,3,FALSE
CONTROLBAR:BeregondSacrifice,gondor,CONTROLBAR:GondorBeregondHotkey,basic,3,FALSE
CONTROLBAR:GondorDenethorHotkey,gondor,CONTROLBAR:SelectRevivablesMenFortress,basic,2,FALSE
CONTROLBAR:DenethorPalantir,gondor,CONTROLBAR:GondorDenethorHotkey,basic,3,FALSE
CONTROLBAR:DenethorHighAuthority,gondor,CONTROLBAR:GondorDenethorHotkey,basic,3,FALSE
CONTROLBAR:DenethorSummon,gondor,CONTROLBAR:GondorDenethorHotkey,basic,3,FALSE
OBJECT:GondorBerethor,gondor,CONTROLBAR:GondorDenethorHotkey,basic,3,FALSE
CONTROLBAR:ShatteringStrike,gondor,OBJECT:GondorBerethor,basic,4,FALSE
CONTROLBAR:ChallengeofGondor,gondor,OBJECT:GondorBerethor,basic,4,FALSE
CONTROLBAR:DenethorContest,gondor,CONTROLBAR:GondorDenethorHotkey,basic,3,FALSE
CONTROLBAR:GondorFaramirHotkey,gondor,CONTROLBAR:SelectRevivablesMenFortress,basic,2,FALSE
CONTROLBAR:ToggleFaramirWeapons,gondor,CONTROLBAR:GondorFaramirHotkey,basic,3,FALSE
CONTROLBAR:FaramirAmbushAbility,gondor,CONTROLBAR:GondorFaramirHotkey,basic,3,FALSE
CONTROLBAR:FaramirKnightRanger,gondor,CONTROLBAR:GondorFaramirHotkey,basic,3,FALSE
CONTROLBAR:FaramirSummonLeadership,gondor,CONTROLBAR:GondorFaramirHotkey,basic,3,FALSE
CONTROLBAR:WoundingArrow,gondor,CONTROLBAR:GondorFaramirHotkey,basic,3,FALSE
CONTROLBAR:FaramirDesperateCharge,gondor,CONTROLBAR:GondorFaramirHotkey,basic,3,FALSE
CONTROLBAR:CaptainofGondorF,gondor,CONTROLBAR:GondorFaramirHotkey,basic,3,FALSE
CONTROLBAR:GondorBoromirHotkey,gondor,CONTROLBAR:SelectRevivablesMenFortress,basic,2,FALSE
CONTROLBAR:WannaBoroMiKnife,gondor,CONTROLBAR:GondorBoromirHotkey,basic,3,FALSE
CONTROLBAR:HornofGondor,gondor,CONTROLBAR:GondorBoromirHotkey,basic,3,FALSE
CONTROLBAR:WarCry,gondor,CONTROLBAR:GondorBoromirHotkey,basic,3,FALSE
CONTROLBAR:CaptainofGondor,gondor,CONTROLBAR:GondorBoromirHotkey,basic,3,FALSE
CONTROLBAR:GandalfTheWhiteHotkey,gondor,CONTROLBAR:SelectRevivablesMenFortress,basic,2,FALSE
CONTROLBAR:WizardBlast,gondor,CONTROLBAR:GandalfTheWhiteHotkey,basic,3,FALSE
CONTROLBAR:GandalfNewMount,gondor,CONTROLBAR:GandalfTheWhiteHotkey,basic,3,FALSE
CONTROLBAR:GandalfPrepareForBattle,gondor,CONTROLBAR:GandalfTheWhiteHotkey,basic,3,FALSE
CONTROLBAR:IstariLight,gondor,CONTROLBAR:GandalfTheWhiteHotkey,basic,3,FALSE
CONTROLBAR:WordofPower,gondor,CONTROLBAR:GandalfTheWhiteHotkey,basic,3,FALSE
CONTROLBAR:RadialBack,gondor,CONTROLBAR:GandalfTheWhiteHotkey,basic,3,FALSE
CONTROLBAR:SelectUpgradesMenFortress,gondor,CONTROLBAR:ConstructMenFortress,basic,1,FALSE
CONTROLBAR:PurchaseUpgradeMenFortressBanners,gondor,CONTROLBAR:SelectUpgradesMenFortress,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeMenFortressHouseOfHealing,gondor,CONTROLBAR:SelectUpgradesMenFortress,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeMenFortressBoilingOil,gondor,CONTROLBAR:SelectUpgradesMenFortress,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeMenFortressFlamingMunitions,gondor,CONTROLBAR:SelectUpgradesMenFortress,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeMenFortressNumenorStonework,gondor,CONTROLBAR:SelectUpgradesMenFortress,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeMenFortressIvoryTower,gondor,CONTROLBAR:SelectUpgradesMenFortress,basic,2,FALSE
CONTROLBAR:RadialBack,gondor,CONTROLBAR:SelectUpgradesMenFortress,basic,2,FALSE
CONTROLBAR:DenethorFavor,gondor,CONTROLBAR:ConstructMenFortress,basic,1,FALSE
CONTROLBAR:ConstructGondorFountainGuardHorde,gondor,CONTROLBAR:ConstructMenFortress,basic,1,FALSE
CONTROLBAR:ToggleFountainGuardFormation,gondor,CONTROLBAR:ConstructGondorFountainGuardHorde,basic,2,FALSE
CONTROLBAR:ToggleLineFormation,gondor,CONTROLBAR:ConstructGondorFountainGuardHorde,basic,2,FALSE
CONTROLBAR:FaithfulGuardianSlayer,gondor,CONTROLBAR:ConstructGondorFountainGuardHorde,basic,2,FALSE
CONTROLBAR:FountainGuardTwo,gondor,CONTROLBAR:ConstructGondorFountainGuardHorde,basic,2,FALSE
CONTROLBAR:IvoryTowerVision,gondor,CONTROLBAR:ConstructMenFortress,basic,1,FALSE
OBJECT:MenBuildingFoundation,gondor,,basic,0,TRUE
CONTROLBAR:Command_ConstructMenWallHubExpansion,gondor,OBJECT:MenBuildingFoundation,basic,1,FALSE
CONTROLBAR:ConstructMenArrowTowerExpansion,gondor,OBJECT:MenBuildingFoundation,basic,1,FALSE
CONTROLBAR:ConstructMenTrebuchetExpansion,gondor,OBJECT:MenBuildingFoundation,basic,1,FALSE
CONTROLBAR:ConstructMenSolemnStatueExpansion,gondor,OBJECT:MenBuildingFoundation,basic,1,FALSE
CONTROLBAR:SummonSpawnTrebuchet,gondor,,power,0,TRUE
CONTROLBAR:NoAutoAcquire,gondor,CONTROLBAR:SummonSpawnTrebuchet,power,1,FALSE
CONTROLBAR:AutoAcquire,gondor,CONTROLBAR:SummonSpawnTrebuchet,power,1,FALSE
CONTROLBAR:ToggleTrebWeapon,gondor,CONTROLBAR:SummonSpawnTrebuchet,power,1,FALSE
CONTROLBAR:StopBombard,gondor,CONTROLBAR:SummonSpawnTrebuchet,power,1,FALSE
CONTROLBAR:SummonDolAmrothAllies,gondor,,power,0,TRUE
CONTROLBAR:ConstructGondorDolMAArmsHorde,gondor,CONTROLBAR:SummonDolAmrothAllies,power,1,FALSE
CONTROLBAR:SallyForth,gondor,CONTROLBAR:ConstructGondorDolMAArmsHorde,power,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,gondor,CONTROLBAR:ConstructGondorDolMAArmsHorde,power,2,FALSE
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,gondor,CONTROLBAR:ConstructGondorDolMAArmsHorde,power,2,FALSE
CONTROLBAR:ConstructGondorKnightsofDolHorde,gondor,CONTROLBAR:SummonDolAmrothAllies,power,1,FALSE
CONTROLBAR:KnightsofDolChargeofGlory,gondor,CONTROLBAR:ConstructGondorKnightsofDolHorde,power,2,FALSE
CONTROLBAR:PurchaseUpgradeDolFortressBanners,gondor,CONTROLBAR:SummonDolAmrothAllies,power,1,FALSE
CONTROLBAR:PurchaseUpgradeDolFortressMoat,gondor,CONTROLBAR:SummonDolAmrothAllies,power,1,FALSE
CONTROLBAR:GondorImrahilHotKey,gondor,CONTROLBAR:SummonDolAmrothAllies,power,1,FALSE
CONTROLBAR:TheodenMount,gondor,CONTROLBAR:GondorImrahilHotKey,power,2,FALSE
CONTROLBAR:SpecialPowerImrahilUnscathed,gondor,CONTROLBAR:GondorImrahilHotKey,power,2,FALSE
CONTROLBAR:ImrahilCounsel,gondor,CONTROLBAR:GondorImrahilHotKey,power,2,FALSE
CONTROLBAR:ImrahilAmroth,gondor,CONTROLBAR:GondorImrahilHotKey,power,2,FALSE
CONTROLBAR:SummonEagleAlliesGondor,gondor,,power,0,TRUE
OBJECT:Gwaihir,gondor,CONTROLBAR:SummonEagleAlliesGondor,power,1,TRUE
CONTROLBAR:SpecialAbilityWingBlastGwaihir,gondor,OBJECT:Gwaihir,power,2,FALSE
CONTROLBAR:SummonElessar,gondor,,power,0,TRUE
OBJECT:GondorElessar,gondor,CONTROLBAR:SummonElessar,power,1,FALSE
CONTROLBAR:ElessarToggleMount,gondor,OBJECT:GondorElessar,power,2,FALSE
CONTROLBAR:ElessarAthelas,gondor,OBJECT:GondorElessar,power,2,FALSE
CONTROLBAR:ElessarBladeMaster,gondor,OBJECT:GondorElessar,power,2,FALSE
CONTROLBAR:ElessarOathbreaker,gondor,OBJECT:GondorElessar,power,2,FALSE
CONTROLBAR:ConstructMenFarm,rohan,,basic,0,FALSE
CONTROLBAR:RohanPeasantry,rohan,CONTROLBAR:ConstructMenFarm,basic,1,FALSE
CONTROLBAR:RohanFarmProduction,rohan,CONTROLBAR:RohanPeasantry,basic,2,FALSE
CONTROLBAR:ConstructRohanPeasant,rohan,CONTROLBAR:RohanPeasantry,basic,2,FALSE
CONTROLBAR:RohanPeasantHasDraft,rohan,CONTROLBAR:ConstructRohanPeasant,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ConstructRohanPeasant,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanForgedBlades,rohan,CONTROLBAR:ConstructRohanPeasant,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanPeasant,basic,3,FALSE
CONTROLBAR:ConstructRohanSpearmenHorde,rohan,CONTROLBAR:RohanPeasantry,basic,2,FALSE
CONTROLBAR:TogglePorcupineFormation,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:ToggleLineFormation,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanForgedBlades,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:ConstructRohanWindmill,rohan,,basic,0,FALSE
CONTROLBAR:RohanPeasantry,rohan,CONTROLBAR:ConstructRohanWindmill,basic,1,FALSE
CONTROLBAR:RohanFarmProduction,rohan,CONTROLBAR:RohanPeasantry,basic,2,FALSE
CONTROLBAR:ConstructRohanPeasant,rohan,CONTROLBAR:RohanPeasantry,basic,2,FALSE
CONTROLBAR:RohanPeasantHasDraft,rohan,CONTROLBAR:ConstructRohanPeasant,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ConstructRohanPeasant,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanForgedBlades,rohan,CONTROLBAR:ConstructRohanPeasant,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanPeasant,basic,3,FALSE
CONTROLBAR:ConstructRohanSpearmenHorde,rohan,CONTROLBAR:RohanPeasantry,basic,2,FALSE
CONTROLBAR:TogglePorcupineFormation,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:ToggleLineFormation,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanForgedBlades,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanSpearmenHorde,basic,3,FALSE
CONTROLBAR:ConstructMenBarracks,rohan,,basic,0,FALSE
CONTROLBAR:ConstructRohanWestfolderHorde,rohan,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:ToggleBlockFormation,rohan,CONTROLBAR:ConstructRohanWestfolderHorde,basic,2,FALSE
CONTROLBAR:ToggleLineFormation,rohan,CONTROLBAR:ConstructRohanWestfolderHorde,basic,2,FALSE
CONTROLBAR:ForthEorlingas,rohan,CONTROLBAR:ConstructRohanWestfolderHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ForthEorlingas,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanForgedBlades,rohan,CONTROLBAR:ForthEorlingas,basic,3,FALSE
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ForthEorlingas,basic,3,FALSE
CONTROLBAR:ConstructRohanDoorWardenHorde,rohan,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:ToggleSchiltronFormation,rohan,CONTROLBAR:ConstructRohanDoorWardenHorde,basic,2,FALSE
CONTROLBAR:ToggleLineFormation,rohan,CONTROLBAR:ConstructRohanDoorWardenHorde,basic,2,FALSE
CONTROLBAR:SurrenderArms,rohan,CONTROLBAR:ConstructRohanDoorWardenHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeRohanForgedBlades,rohan,CONTROLBAR:ConstructRohanDoorWardenHorde,basic,2,FALSE
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanDoorWardenHorde,basic,2,FALSE
CONTROLBAR:ConstructRohanHelmingasWardenHorde,rohan,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:TheodenMount,rohan,CONTROLBAR:ConstructRohanHelmingasWardenHorde,basic,2,FALSE
CONTROLBAR:HelmingasShieldCrush,rohan,CONTROLBAR:ConstructRohanHelmingasWardenHorde,basic,2,FALSE
CONTROLBAR:MarkOfFreca,rohan,CONTROLBAR:ConstructRohanHelmingasWardenHorde,basic,2,FALSE
CONTROLBAR:MarkOfHelm,rohan,CONTROLBAR:ConstructRohanHelmingasWardenHorde,basic,2,FALSE
CONTROLBAR:PurchaseTechnologyRohanForgedBlades,rohan,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:PurchaseTechnologyRohanHeavyArmor,rohan,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
CONTROLBAR:ConstructGondorBarracks2Upgrade,rohan,CONTROLBAR:ConstructMenBarracks,basic,1,FALSE
